	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_pos_low1__simp_cordo	79.64	0.43	13.0	26.8	18.0	265.0	0.5192	0.2576	0.029	0.2699	0.6589	0.6907	0.7264	0.7364	0.7417	0.7465	0.747	0.7481	0.7494	0.751	0.752	0.753	0.7538	0.7546	0.755	0.7554	0.7567	0.7585	0.7609	0.7635
TFm_UBER_pos_low1__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.54	9.77	11.32	13.75	16.92	16.98	19.51	21.62	22.86	24.24	26.67	25.93	29.17	28.57	26.32	31.25	35.71	45.45	37.5	33.33	-1.0
TFm_UBER_pos_low1_mult_linear	77.25	0.48	13.0	27.0	18.0	265.0	0.7542	0.2183	0.0664	0.6511	0.8164	0.8661	0.9016	0.9164	0.9377	0.9519	0.9551	0.9562	0.9603	0.964	0.9666	0.9709	0.9742	0.9773	0.98	0.981	0.9847	0.9899	0.9944	0.9989
TFm_UBER_pos_low1_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.59	9.85	12.26	15.0	16.67	16.98	22.5	21.62	23.53	25.0	23.33	25.93	29.17	27.27	31.58	37.5	35.71	36.36	50.0	50.0	-1.0
TFm_UBER_pos_low1_mult_lstm	96.65	0.1	13.0	22.5	18.0	265.0	0.3127	0.3802	0.0	0.0009	0.0509	0.2655	0.6008	0.7136	0.8004	0.875	0.8866	0.9039	0.9193	0.9255	0.9291	0.9413	0.9514	0.9666	0.9681	0.9706	0.9816	0.9844	0.9868	0.9997
TFm_UBER_pos_low1_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.59	10.61	11.32	12.5	13.64	16.98	17.5	16.22	17.14	18.75	20.0	22.22	25.0	22.73	26.32	31.25	21.43	27.27	37.5	33.33	-1.0
TFm_UBER_pos_low1__mult_gru	95.63	0.13	15.0	38.5	18.0	265.0	0.4795	0.4056	0.002	0.0434	0.4216	0.733	0.8863	0.918	0.953	0.97	0.9734	0.9751	0.9769	0.9784	0.9811	0.9842	0.9848	0.9861	0.9888	0.9896	0.9899	0.9916	0.9948	0.9983
TFm_UBER_pos_low1__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.04	9.77	12.26	16.25	18.18	22.64	30.0	31.58	34.29	34.38	36.67	37.04	40.0	40.91	42.11	43.75	40.0	36.36	37.5	33.33	-1.0
TFm_PYPL_neg_vgood16_mult_64	74.2	0.52	8.0	18.9	17.0	278.0	0.5015	0.0835	0.3624	0.4405	0.4958	0.5059	0.5202	0.526	0.5346	0.645	0.6466	0.6484	0.6507	0.6514	0.6517	0.6522	0.654	0.6576	0.6589	0.6596	0.6624	0.6634	0.6744	0.687
TFm_PYPL_neg_vgood16_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.17	11.51	14.41	16.67	18.57	16.07	16.67	18.42	18.92	17.65	16.13	17.86	20.0	21.74	20.0	17.65	21.43	25.0	33.33	33.33	-1.0
TFm_PYPL_neg_vgood16_mult_128	83.98	0.37	14.0	17.6	17.0	278.0	0.4763	0.3191	0.0043	0.1379	0.5341	0.6606	0.7369	0.7593	0.7778	0.8111	0.8156	0.8202	0.8373	0.8501	0.8671	0.8716	0.8775	0.8977	0.9096	0.9234	0.9341	0.963	0.9828	0.9986
TFm_PYPL_neg_vgood16_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.17	11.51	14.41	14.29	17.14	17.86	16.67	15.38	16.67	14.71	16.13	17.86	20.0	21.74	15.0	17.65	21.43	16.67	11.11	16.67	-1.0
TFm_PYPL_neg_vgood16_mult_conv2	82.69	0.39	11.0	21.9	17.0	278.0	0.4644	0.2452	0.0333	0.2377	0.4722	0.5574	0.6369	0.6806	0.7314	0.7624	0.7668	0.7712	0.7775	0.7797	0.7854	0.8002	0.8072	0.81	0.8166	0.8312	0.8486	0.8571	0.8802	0.9467
TFm_PYPL_neg_vgood16_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.17	12.23	12.61	15.48	15.71	17.86	21.43	20.51	19.44	20.59	22.58	21.43	20.0	21.74	25.0	29.41	28.57	33.33	33.33	50.0	-1.0
TFm_PYPL_neg_vgood16_mult_conv	76.45	0.48	9.0	16.5	17.0	278.0	0.5695	0.1015	0.3853	0.4891	0.5553	0.5784	0.5986	0.6115	0.6306	0.7327	0.7371	0.7419	0.7447	0.7476	0.7531	0.7567	0.7604	0.7641	0.7655	0.7673	0.7685	0.7704	0.7771	0.8106
TFm_PYPL_neg_vgood16_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.17	9.35	11.71	10.71	11.43	14.29	14.29	15.38	16.67	17.65	19.35	17.86	16.0	13.04	15.0	17.65	21.43	16.67	22.22	16.67	-1.0
TFm_PYPL_neg_vgood16__simp_cordo	63.96	0.65	12.0	24.7	17.0	278.0	0.5175	0.1228	0.3283	0.432	0.4959	0.5195	0.5419	0.557	0.5742	0.7114	0.7182	0.7207	0.7295	0.7331	0.7341	0.7375	0.741	0.7438	0.7463	0.7487	0.7511	0.7693	0.7832	0.8501
TFm_PYPL_neg_vgood16__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.69	11.51	13.39	14.29	15.71	16.07	16.67	17.95	19.44	20.59	22.58	25.0	24.0	26.09	30.0	35.29	28.57	33.33	44.44	50.0	-1.0
